Reaction.Time,Tempo 
1.733432055,100 bpm
1.833395958,100 bpm
2.116678,100 bpm
2.383384943,100 bpm
2.399739027,100 bpm
3.716472864,100 bpm
0.916482925,100 bpm
1.000212908,100 bpm
1.000218868,100 bpm
1.016723156,100 bpm
1.033452988,100 bpm
1.050168991,100 bpm
1.083307028,100 bpm
1.100169182,100 bpm
1.116431952,100 bpm
1.149861813,100 bpm
1.199841022,100 bpm
1.250232935,100 bpm
1.283177137,100 bpm
1.294825077,100 bpm
1.300248861,100 bpm
1.300636053,100 bpm
1.333272934,100 bpm
1.367085934,100 bpm
1.433405876,100 bpm
1.683665037,100 bpm
1.700034142,100 bpm
2.116525888,100 bpm
0.250313997,100 bpm
0.265779972,100 bpm
0.500180006,100 bpm
0.833796024,100 bpm
0.966580868,100 bpm
2.516473055,100 bpm
4.249764919,100 bpm
0.534542084,100 bpm
0.999244928,100 bpm
1.033570051,100 bpm
1.05025506,100 bpm
1.066964149,100 bpm
1.16689086,100 bpm
1.19988203,100 bpm
1.233697891,100 bpm
1.249842882,100 bpm
1.31657505,100 bpm
1.383323908,100 bpm
1.432893991,100 bpm
1.633909941,100 bpm
2.299887896,100 bpm
2.516678095,100 bpm
3.116550922,100 bpm
3.233565092,100 bpm
4.582751989,100 bpm
0.250045061,100 bpm
0.250057936,100 bpm
0.367056131,100 bpm
0.492311001,100 bpm
0.500334024,100 bpm
0.883417845,100 bpm
0.883426905,100 bpm
0.966466188,100 bpm
1.050381899,100 bpm
1.116655827,100 bpm
1.200327873,100 bpm
1.249602795,100 bpm
1.249948025,100 bpm
1.266992092,100 bpm
1.316784859,100 bpm
1.450043917,100 bpm
1.566617012,100 bpm
1.63340807,100 bpm
1.983413935,100 bpm
2.166765213,100 bpm
2.448491812,100 bpm
2.483279943,100 bpm
2.533292055,100 bpm
0.979967833,100 bpm
1.031852007,100 bpm
1.034246922,100 bpm
1.050139189,100 bpm
1.050363064,100 bpm
1.062361956,100 bpm
1.097280025,100 bpm
1.146840096,100 bpm
1.148808956,100 bpm
1.196614981,100 bpm
1.225488901,100 bpm
1.23307085,100 bpm
1.248334885,100 bpm
1.249110937,100 bpm
1.316766977,100 bpm
1.36683321,100 bpm
1.398729086,100 bpm
1.500085115,100 bpm
1.546721935,100 bpm
1.599435091,100 bpm
1.698649883,100 bpm
1.698962927,100 bpm
1.733756065,100 bpm
1.846825838,100 bpm
0.896698952,100 bpm
0.93217802,100 bpm
0.9327209,100 bpm
0.949198961,100 bpm
0.965760946,100 bpm
0.997246027,100 bpm
1.015434027,100 bpm
1.017138004,100 bpm
1.030204058,100 bpm
1.050400019,100 bpm
1.06558609,100 bpm
1.100107908,100 bpm
1.13270402,100 bpm
1.146658897,100 bpm
1.158383131,100 bpm
1.16277194,100 bpm
1.163610935,100 bpm
1.19976306,100 bpm
1.212903976,100 bpm
1.227924824,100 bpm
